DEPTH,R4,COND,SP,GR,AC
1725.875,2.406,476.549,23.282,90.061,359.669
1726,2.597,481.775,23.439,86.021,370.391
1726.125,2.698,483.448,23.582,84.954,362.946
1726.25,2.698,483.439,23.623,83.763,351.021
1726.375,2.698,489.454,23.683,84.226,341.252
1726.5,2.5,490.438,23.55,82.807,333.117
1726.625,2.356,490.429,23.393,80.953,345.492
1726.75,2.256,490.42,23.134,79.851,354.314
1726.875,2.256,490.411,22.977,79.053,366.358
1727,2.257,490.402,22.82,78.196,373.668
1727.125,2.216,490.393,22.662,84.043,371.076
1727.25,2.184,490.383,22.571,84.872,356.298
1727.375,2.148,490.374,22.385,83.558,349.275
1727.5,2.136,483.349,22.14,80.519,351.064
1727.625,2.136,476.404,21.982,81.021,346.89
1727.75,2.342,462.881,21.685,81.68,335.735
1727.875,2.569,448.22,21.383,80.373,329.208
1728,2.884,432.71,21.157,79.435,320.276
1728.125,3.232,403.857,20.797,76.999,317.1
1728.25,3.568,372.037,20.629,76.817,317.1
1728.375,4,353.535,20.448,76.497,317.851
1728.5,4.282,333.203,20.347,75.446,318.1
1728.625,4.762,314.015,20.291,74.524,311.192
1728.75,5.159,300.37,20.246,74.49,300.915
1728.875,5.682,309.794,20.246,77.615,307.585
1729,5.876,319.365,20.292,80.025,314.061
1729.125,5.627,334.019,20.415,82.334,321.948
1729.25,5.013,346.903,20.764,84.833,330.179
1729.375,4.262,357.04,21.002,85.715,324.22
1729.5,3.784,357.034,21.698,86.841,310.813
1729.625,3.331,371.882,22.215,85.964,304.215
1729.75,3.077,383.542,22.689,85.042,303.086
1729.875,2.863,394.906,23.25,84.427,331.581
1730,2.693,407.455,23.565,87.337,356.163
1730.125,2.419,432.339,23.788,89.717,376.742
1730.25,2.286,452.161,23.991,89.296,396.889
1730.375,2.574,472.913,24.091,88.241,410.718
1730.5,2.905,480.56,24.155,87.244,370.201
1730.625,3.19,483.124,24.193,88.397,310.491
1730.75,3.616,469.391,24.294,87.646,276.184
1730.875,3.981,462.667,24.294,89.356,298.016
1731,4.55,462.659,24.294,89.21,324.412
1731.125,4.284,469.365,24.294,87.73,348.2
1731.25,3.997,476.169,24.294,86.674,365.432
1731.375,3.529,483.07,24.295,86.83,383.708
1731.5,2.947,465.662,24.295,88.068,341.796
1731.625,2.515,451.674,24.295,89.091,328.449
1731.75,2.167,438.127,24.248,91.469,316.769
1731.875,2.109,421.569,24.194,90.098,309.313
1732,2.486,400.514,24.194,88.444,299.079
1732.125,2.742,391.607,24.194,87.155,289.071
1732.25,2.908,389.123,24.194,85.74,291.748
1732.375,3.023,389.116,24.194,83.885,300.924
1732.5,3.078,394.756,24.194,82.625,311.788
1732.625,3.104,406.29,24.194,86.67,330.459
1732.75,3.041,422.312,24.195,89.172,362.472
1732.875,2.808,429.145,24.195,91.129,391.504
1733,2.518,436.079,24.22,92.446,402.47
1733.125,2.385,443.139,24.296,90.277,373.081
1733.25,2.3,462.505,24.333,89.598,356.393
1733.375,2.258,470.949,24.397,87.792,344.528
1733.5,2.22,476.009,24.446,88.249,334.413
1733.625,2.193,482.909,24.499,86.856,326.731
1733.75,2.18,482.9,24.508,84.335,317.386
1733.875,2.18,457.717,24.6,81.652,310.043
1734,2.194,440.239,24.6,79.817,306.876
1734.125,2.284,427.379,24.677,78.466,309.991
1734.25,2.458,417.895,24.702,77.068,312.086
1734.375,2.583,405.183,24.702,75.191,306.016
1734.5,2.789,388.996,24.702,73.917,302.598
1734.625,2.965,376.849,24.802,72.298,298.723
1734.75,3.209,372.527,24.803,70.968,300.006
1734.875,3.397,367.191,24.803,71.55,304.234
1735,3.678,367.185,24.803,70.141,307.772
1735.125,3.818,377.131,24.885,72.958,311.486
1735.25,3.99,383.39,24.905,71.382,315.917
1735.375,3.952,388.947,24.905,69.633,318.089
1735.5,3.743,388.94,24.994,68.806,316.951
1735.625,3.5,388.933,25.006,68.532,308.583
1735.75,3.335,388.926,25.006,70.328,302.715
1735.875,3.242,388.919,25.006,71.151,301.076
1736,3.429,388.912,25.006,70.333,302.663
1736.125,3.628,393.897,25.006,70.02,314.882
1736.25,3.558,400.268,25.007,70.005,341.54
1736.375,3.393,406.069,25.007,71.901,355.964
1736.5,3.19,411.955,25.007,74.522,354.969
1736.625,3.02,417.925,24.906,76.379,330.367
1736.75,2.865,417.918,24.906,78.465,312.308
1736.875,2.94,417.91,24.906,80.896,300.962
1737,3.026,423.967,24.906,82.197,296.554
1737.125,3.026,423.959,24.906,80.701,306.269
1737.25,2.933,423.952,24.906,79.825,321.63
1737.375,2.836,423.944,24.906,79.195,331.199
1737.5,2.711,423.936,24.906,80.593,344.896
1737.625,2.705,423.928,24.907,82.131,343.891
1737.75,2.788,417.857,24.907,82.935,323.004
1737.875,3.042,417.849,24.907,81.847,305.471
1738,3.2,417.842,24.855,81.207,292.927
1738.125,3.316,411.857,24.806,80.394,287.063
1738.25,3.388,411.85,24.806,79.768,295.476
1738.375,3.362,411.842,24.806,79.058,308.226
1738.5,3.197,417.46,24.806,78.407,317.564
1738.625,2.995,423.867,24.806,77.89,333.974
1738.75,2.827,430.009,24.806,77.465,369.275
1738.875,2.625,438.013,24.908,77.04,393.629
1739,2.545,445.099,24.908,76.58,410.702
1739.125,2.504,448.978,24.908,78.924,372.62
1739.25,2.505,455.485,24.908,82.829,324.081
1739.375,2.668,455.476,24.908,84.096,305.296
1739.5,2.893,455.468,24.908,85.715,318.253
1739.625,3.058,462.069,24.908,84.381,340.277
1739.75,3.143,462.06,24.908,82.408,350.95
1739.875,3.148,468.757,24.908,80.554,364.296
1740,3.025,468.748,24.909,81.187,371.465
1740.125,2.955,468.739,24.909,83.535,366.972
1740.25,2.854,468.731,24.909,82.428,357.71
1740.375,2.762,468.722,24.909,80.773,350.085
1740.5,2.746,468.713,24.909,79.951,349.723
1740.625,2.746,468.704,24.909,87.517,354.571
1740.75,2.787,468.696,24.909,85.49,351.413
1740.875,2.822,468.687,24.909,83.861,347.185
1741,2.827,468.678,24.872,83.089,342.096
1741.125,2.872,468.67,24.808,85.923,347.373
1741.25,2.948,468.661,24.759,85.963,353.398
1741.375,2.854,468.652,24.707,86.84,355.807
1741.5,2.729,468.644,24.668,85.992,357.105
1741.625,2.604,468.635,24.606,84.382,343.208
1741.75,2.513,468.626,24.525,82.007,331.121
1741.875,2.364,461.915,24.453,83.355,321.373
1742,2.287,461.906,24.239,78.885,322.981
